thumb_mcp, thumb_pip, thumb_hes, index_mcp, index_pip, middle_mcp, middle_pip,Label
189.75,187,175.25,155.75,161.25,181,163.75,0
190.5,188.75,176.25,154.5,161.25,179.75,164.75,0
190.5,186.25,176,156,162,180.25,163,0
191,189,176,154.75,162.25,179.5,164.5,0
189.5,188,174.75,155.25,162,180.75,164.75,0
189.75,188,175.5,155.5,161.75,179.75,164.75,0
190.5,188.25,176,156,161.75,179.75,164.5,0
191.5,188,176.5,155.5,161.25,181,165.75,0
188.5,186.75,175.75,156.25,162.75,180.25,163.5,0
191.5,189,175.5,154.25,161.75,179.5,164.5,0
190.5,188,176,155,162,180.5,163.75,0
190.25,187.75,174.75,156,162,181,165.25,0
188.75,187.75,176,156.5,163,179.75,164.25,0
190.25,188.75,175,155.5,161.5,179.5,163.75,0
191.5,188.75,175.5,155.25,161.75,180,165,0
190.5,187.5,174.25,155.75,162.25,181.25,165.25,0
189.75,189,176.5,157.25,160.75,179.25,163.5,0
191.75,188.75,174.5,154.25,161.5,180,164,0
189,187,175.75,156,163,181,163.75,0
190,188.5,174.75,155.25,162.25,180.75,163.5,0
188.5,188.5,175.75,155.75,160.5,180,164.5,0
191.75,187.75,175,154.75,161.75,181.25,166.75,0
191.25,187.5,174.5,155.5,162.5,180.5,163.25,0
188.75,187,175.25,155.75,162.25,180.25,164,0
191.5,189.25,176.75,155,161.25,179.5,164.75,0
192.25,187,174.25,155,163,182,165.75,0
189.75,188.25,176,157.25,162.5,180.25,164.5,0
190.25,188.75,174.75,156,161.5,179.25,164.5,0
190.5,188.75,175,154.75,161.5,181.25,165.5,0
188.5,186,175,156.5,162.75,180.75,164.75,0
190.75,188.25,176,156.5,161.5,180.25,164.75,0
190.5,188,176.25,156.5,161,179.5,164.75,0
191.75,188.25,174.5,154.25,161.5,180.5,166.5,0
188.75,186.5,175.5,156.75,163.25,180.5,164.5,0
190.5,189,177,155.5,161.75,178.75,164.75,0
191.75,188.5,175.5,154.5,161.25,180.5,165.25,0
190.75,187.5,175.25,155,162.5,181,165,0
189.5,188.5,176,156.25,162.5,180.25,163.5,0
190.75,188.5,175.5,155.25,161.5,180.25,164,0
191.25,188.5,175.5,155.75,162,181,165,0
190,187.25,175.75,156.25,163.25,181.5,164.5,0
190,189,177,156.5,162,179.25,164,0
191.75,190,175.25,154.25,161.25,181,165.25,0
190,187.25,175.5,156.5,163.5,181.5,165,0
189.5,188.25,176,156,162.25,179.5,164.75,0
192,188.75,176.25,155.25,162.25,180.25,165.25,0
190.25,187.75,175.5,155,161.25,181,164.5,0
191,188.5,175.5,155.5,162.25,181,165.75,0
191,188.5,175.5,156,163.25,180.5,165,0
192,188.75,177,155.5,161.75,181,165.75,0
190.25,187.5,174.25,156.25,163,181.25,165.25,0
190,188.5,176.5,156.5,162,179.25,165,0
191,188.75,175.25,155.75,162.5,180.75,166,0
190.5,188,175.5,155.25,162.75,181.25,165.75,0
189.75,188.5,175.25,155,162.5,180.25,165,0
190.5,187.75,176.25,155.75,163.25,180.25,165.5,0
188.5,188.5,176.5,156.25,160.5,180.5,165,0
190.25,188,175.25,155.5,161.25,181.25,165.75,0
191.5,188.25,176.5,156,162,179.75,164,0
191.5,188.75,175,155.75,161.75,180.25,166,0
191,188,175.75,156.25,162.75,181,165.75,0
190.25,188.5,177,156.75,163,179.75,164.5,0
190.75,188.25,175.5,155.25,161.5,180.5,165.75,0
190.75,188.25,176,156.5,160.75,180.5,165.25,0
191.5,189,175.75,155.5,162.75,180.5,165.5,0
189.5,188,175.5,155.75,162.5,181,165.25,0
191,189.25,176,156.5,162.25,180.25,164.75,0
190.5,188,176,155,163,181.75,164.75,0
190.5,188.75,175.75,156,162,180.5,164.75,0
190.25,188,175,155.25,162.25,180.75,165.5,0
190,188.5,175.5,156.25,160.25,180.5,164.75,0
190.75,189.25,175.5,155.75,162.25,180.25,165.75,0
190.75,186.75,175.75,156.75,163,181.5,165.5,0
190.75,188.5,176,157.5,162.25,180,165,0
191,188.5,176,156,162.75,180.5,166,0
190.5,188.5,175.75,156,163,179.75,164.75,0
191.5,189,175.5,156,162.75,181,164.75,0
190.5,188,175.75,157,162.75,180.75,165,0
192,189,174.75,156.25,161.25,180,165.25,0
191.5,188,174.75,156.75,162,181,165.75,0
190,188.5,176,156.5,162.25,180,165,0
190.75,189,176,155.75,162.5,181.25,166.25,0
190.5,187.25,176,156.5,162.75,181,166,0
191.5,188.5,176.5,155.75,162,180.75,165,0
189.75,187.5,175.75,155.75,162.75,181,165,0
190.75,188.25,175.75,155.75,162,180.75,165.25,0
190.75,188.25,175,154.25,162.25,181.5,164.5,0
190,188.75,176,156.75,162.25,181,164.25,0
191,189,175.75,155.75,162.5,180.5,165,0
190.25,187.5,174.75,155,163,178.5,165,0
191,188.25,176.25,156.5,161.75,180,162.75,0
191.25,189,175.25,156.5,163,181,165.75,0
190.75,189,175.25,156.5,162.5,180.75,164.75,0
191,189.25,175.75,156.25,162.25,180.75,165.75,0
191,188,175.25,156.5,163,180.25,165,0
192,189,175.5,156.25,162.25,180.75,165.5,0
190.25,187.75,175.75,156.25,162.25,181,164.75,0
190.75,188.75,176,156.5,162.75,181,165,0
191,187.75,176,156,162,180.75,165,0
190.25,187.75,175.75,156.75,162.5,181.25,165.25,0
190.5,188.5,175.75,156,161.75,181,165,0
190.25,187.5,175.25,156.5,162.5,180.5,164.5,0
191.5,188.75,175.5,156,162.25,180.5,166.25,0
190.5,187.75,175.25,155.25,162.25,181.25,165.25,0
189.5,188.25,175.25,156.25,163,180,164.25,0
190.25,188,174.5,156,162.25,181,164.5,0
190.25,188.25,175,156,162.75,180.5,165.5,0
190,187.25,175.5,156.25,163.25,180.75,164.5,0
191.25,188.5,176.25,156.25,162,180.75,164.5,0
190.25,189.25,175.5,156,162.5,181,164.75,0
190.75,188.25,175.25,156,162.25,180.5,166,0
190.5,188.75,175,157,163.5,181.25,165,0
191,189,175.75,156,162,180,165,0
191.25,188,175.25,156.75,163,180.75,165,0
190.5,188.25,175.5,155.25,162.5,180,164.5,0
190.75,188,175.75,156.5,162,180.25,165,0
190.75,188.25,174.5,155.5,161,180.25,164.25,0
189.5,187,175.5,155.5,163,180.25,165.75,0
191,187.5,174.5,155.25,162.75,180.25,165.75,0
190,188,176,156.25,161.75,180,165,0
191.75,188.5,175,156,161,179,165.25,0
189.75,187.25,175.75,156.5,161.75,181.5,165.25,0
191.25,188.75,175,156.75,160,180.5,165,0
190.75,189,177,157,161.5,180,164.5,0
190.25,188,174.75,155.25,163.75,180.75,165.25,0
190,188.75,175.5,155.25,162.75,181,164.25,0
190,187,175,155.25,161.75,180.5,165.25,0
190.25,188.75,174.25,156,161.25,179.5,164.5,0
190.5,187.25,175,155.75,163.25,181.5,166,0
189.25,187.75,176.25,157,163,180.25,164.5,0
189.75,188.75,175.5,156,162.5,180.75,165.5,0
191.25,188.5,175.25,156.25,162.5,180.25,164,0
190.75,188,174.75,157,161.75,181,164.75,0
190.75,188.75,175.25,156.5,161.5,179.5,165.5,0
190.25,188.25,175,156.5,162.75,180.75,163.5,0
191,189.5,175.75,155.5,161.75,179.75,165.5,0
190,187.75,175.25,156.5,163.5,182,165.5,0
190.5,188.75,175.5,155.5,161.5,180,164.25,0
190.75,188.25,175,155.75,162.75,181,165.25,0
190.25,188.5,174.75,155.5,162.25,179.5,164.25,0
